School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Compton Unified,Whaley Middle,"14401 South Gibson Avenue
Compton 90221
(33.90266020100006, -118.18951676199998)",2004, 05-09,875,28.1,79.1%,23,650,Brian Nieman; Inside Out Community Arts,,,,,Theatre,Visual Art
Arcadia Unified,Richard Henry Dana Middle,"1401 South First Avenue
Arcadia 91006
(34.12417053300004, -118.02804726999995)",2011, 06-08,785,28.6,17.6%,24.9,953,Pasadena Symphony Association,,,Media Arts,,,
Los Angeles Unified,Los Angeles Elementary,"1211 South Hobart Boulevard
Los Angeles 90006
(34.04879326500003, -118.30524768699996)",n/a, K-05,853,25.1,81.4%,23.1,797,Autry Museum; Screen Actors Guild Foundation; Skirball Cultural Center,,,,Music/Opera,Theatre,Visual Art
Beverly Hills Unified,Beverly Hills High,"241 Moreno Drive
Beverly Hills 90212
(34.06289374100004, -118.41210458699999)",2004, 09-12,1975,24.5,6.5%,21.5,867,Broad Stage,,,,,Theatre,
Downey Unified,Ward Elementary,"8851 East Adoree Street
Downey 90242
(33.91470569100005, -118.14165597899995)",n/a, K-03,468,24.7,82.7%,22.3,858,Downey Symphonic Society,,,,Music/Opera,,
Glendale Unified,Mountain Avenue Elementary,"2307 Mountain Avenue
La Crescenta 91214
(34.224095188000035, -118.22819813299998)",2008, K-06,512,26.9,3.9%,25.6,952,Autry Museum; LA County Museum of Art; LA Opera,,,,Music/Opera,,Visual Art
Manhattan Beach Unified,Pacific Elementary,"1200 Pacific Avenue
Manhattan Beach 90266
(33.88825487100007, -118.40328670799994)",2008, K-05,647,24.1,1.4%,21.1,965,AMAN Dance Educators; The Music Center,Dance,,,,,
Los Angeles Unified,Academy of Medical Arts at Carson High,"22328 South Main Street
Carson 90745
(33.823909341000046, -118.27585763299999)",n/a,no data,,,,,,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,University Senior High,"11800 Texas Avenue
Los Angeles 90025
(34.04559568700006, -118.46165500999996)",n/a, 09-12,2059,27.8,70.9%,23.7,750,Broad Stage; Ryman Arts; UCLA's Visual and Performing Arts Education Program,Dance,,Media Arts,,Theatre,Visual Art
Montebello Unified,Montebello High,"2100 West Cleveland Avenue
Montebello 90640
(34.01520205300005, -118.12297444499995)",2007, 08-12,3289,25.2,78.8%,26.4,686,Autry Museum; Los Angeles Master Chorale,,,,Music/Opera,,Visual Art
Los Angeles Unified,Coldwater Canyon Elementary,"6850 Coldwater Canyon Avenue
North Hollywood 91605
(34.195490267000025, -118.41376617799995)",n/a, K-05,734,23.6,91.6%,19.3,846,Autry Museum; Los Angeles Chamber Orchestra; Skirball Cultural Center; Young Storytellers Foundation,,Literature,,Music/Opera,Theatre,Visual Art
Covina-Valley Unified,Barranca Elementary,"727 South Barranca Avenue
Covina 91723
(34.07628095100006, -117.88133247199994)",2012, K-05,632,23.4,65.3%,22.6,863,The Music Center,Dance,,,Music/Opera,,
Los Angeles Unified,Fifty-Ninth Street Elementary ,"5939 Second Avenue
Los Angeles 90043
(33.98638107600004, -118.31968236799997)",n/a, K-05,384,22.5,88%,20.2,699,Broad Stage; Culture Shock Los Angeles Dance Troupe,Dance,,,Music/Opera,,
Los Angeles Unified,Warner Avenue Elementary,"615 Holmby Avenue
Los Angeles 90024
(34.070064391000074, -118.43362114599995)",n/a, K-05,678,23.4,4.7%,21.9,958,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Sulphur Springs Union,Mint Canyon Community Elementary,"16400 Sierra Highway
Canyon Country 91351
(34.45101728100008, -118.42251865599997)",2011, K-06,555,22.1,72.8%,23.9,814,Santa Clarita PAC,Dance,,,Music/Opera,Theatre,Visual Art
William S. Hart Union High,Golden Valley High,"27051 Robert C. Lee Parkway
Santa Clarita 91321
(34.398230037000076, -118.49134411499995)",n/a, 09-12,2224,30.2,34.8%,26,782,"Santa Clarita Artists' Association, Inc; Santa Clarita Shakespeare Festival",,,,,Theatre,Visual Art
Rosemead Elementary,Emma W. Shuey Elementary,"8472 East Wells Street
Rosemead 91770
(34.08447817000007, -118.084398438)",2003, K-06,571,27.6,79.5%,26,875,The Music Center,Dance,,,,,
Los Angeles County Office of Education,Wisdom Academy for Young Scientists,"706 East Manchester Avenue
Los Angeles 90001
(33.96010329000006, -118.26266976799997)",2003, K-05,488,19.4,96.9%,20.3,715,The Music Center,Dance,,,,,
Redondo Beach Unified,Washington Elementary,"1100 Lilienthal Lane
Redondo Beach 90278
(33.863902438000025, -118.36556746399998)",2007, K-05,571,25.8,43.1%,22,906,Museum of Latin American Art; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Stephen M. White Middle,"22102 South Figueroa Street
Carson 90745
(33.826249060000066, -118.28595695199999)",n/a, 06-08,1871,30.5,69.8%,24.6,764,LA County Museum of Art; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,San Miguel Elementary,"9801 San Miguel Avenue
South Gate 90280
(33.94477025000003, -118.200776169)",n/a, K-05,1084,23.6,82.2%,22.6,777,Autry Museum,,,,,,Visual Art
Long Beach Unified,Lakewood High,"4400 Briercrest Avenue
Lakewood 90713
(33.83785782100006, -118.12325445299996)",n/a, 09-12,4058,30.8,51.1%,25.7,757,Los Angeles Master Chorale; Nannette Brodie Dance Theatre; Shakespeare by the Sea,Dance,,,Music/Opera,Theatre,
Saugus Union,Santa Clarita Elementary,"27177 Seco Canyon Road
Saugus 91350
(34.443285665000076, -118.53450778099995)",2007, K-06,489,25.5,24.9%,17.8,862,Santa Clarita PAC,,,,,Theatre,Visual Art
Los Angeles Unified,Thurgood Marshall Leadership Academy Middle School,"3500 South Normandie Avenue
Los Angeles 90007
(34.024430574000064, -118.30020649999994)",n/a, 04-09,169,30.6,65.1%,33.8,683,Museum of Contemporary Art,,,,,,Visual Art
Pomona Unified,Diamond Ranch High,"100 Diamond Ranch Drive
Pomona 91766
(34.02238052000007, -117.77392210399995)",2007, 09-12,1916,31.3,46.5%,25,813,American Museum of Ceramic Art,,,,,,Visual Art
Los Angeles Unified,Lorne Street Elementary,"17440 Lorne Street
Northridge 91325
(34.21719349500006, -118.51324958099997)",n/a, K-05,669,24.7,61.4%,24.3,830,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Camino Nuevo Charter High,"1215 W. Miramar Street
Los Angeles 90026
(34.05739273200004, -118.25779639799998)",n/a, 09-12,466,27.1,91.6%,22.7,802,Mobile Film Classroom,,,Media Arts,,,
Walnut Valley Unified,Diamond Bar High,"21400 Pathfinder Road
Diamond Bar 91765
(33.98408266100006, -117.83899680499997)",n/a, 09-12,3044,29,7.1%,27.2,875,Autry Museum,,,,,,Visual Art
Duarte Unified,Duarte High,"1565 East Central Avenue
Duarte 91010
(34.13605787500006, -117.97152963499997)",2012, 08-12,1200,30.1,57.8%,29.6,747,Los Angeles Master Chorale; Museum of Latin American Art,,,Media Arts,Music/Opera,Theatre,Visual Art
Compton Unified,Roosevelt Middle,"1200 East Alondra Boulevard
Compton 90221
(33.888544653000054, -118.20990892099996)",2004, 05-09,1076,28,79%,26.2,724,Unearth and Empower Communties,,,,,,Visual Art
Los Angeles Unified,Eagle Tree Continuation,"22628 South Main Street
Carson 90745
(33.82068448100006, -118.27550621199998)",n/a, 09-12,136,12,25.7%,45.3,531,Dancing Classrooms Los Angeles; Saturday Night Bath Concert Fund,Dance,,,Music/Opera,,
Pasadena Unified,Learning Works,"90 North Daisy Avenue
Pasadena 91107
(34.14778834100008, -118.09294630899996)",2003, 08-12,350,8.8,46.3%,35,573,Armory Center for the Arts; Autry Museum,,,,,,Visual Art
Culver City Unified,Farragut Elementary,"10820 Farragut Drive
Culver City 90230
(34.00784323900007, -118.39999826199994)",2003, K-05,551,25,27.8%,24,940,24th Street Theatre Company; Skirball Cultural Center; Symphonic Jazz Orchestra; Actors' Gang; The Music Center; Young Storytellers Foundation,Dance,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Bret Harte Preparatory Middle,"9301 South Hoover Street
Los Angeles 90044
(33.95144043500005, -118.28703246199996)",n/a, 06-08,1050,21.5,64.2%,17.8,634,Shakespeare At Play,,,,,Theatre,
Los Angeles Unified,William Tell Aggeler Opportunity High,"21050 Plummer Street
Chatsworth 91311
(34.242713080000044, -118.59248969599997)",n/a, 08-12,62,15,62.9%,12.4,,Antaeus Company ,,,,,Theatre,
Alhambra Unified,Marguerita Elementary,"1603 South Marguerita Avenue
Alhambra 91803
(34.07535317500003, -118.13821016899999)",2005, K-08,669,25.7,71.7%,23.6,828,The Music Center,Dance,,,Music/Opera,,
Los Angeles County Office of Education,Los Angeles County Special Education,"9300 Imperial Highway
Downey 90242
(33.916992970000024, -118.12835979999994)",2003, K-12,2103,9.8,39.9%,3.7,,The Music Center,Dance,,,,,
Los Angeles Unified,Rowan Avenue Elementary,"600 South Rowan Avenue
Los Angeles 90023
(34.029380325000034, -118.18737433299998)",n/a, K-05,979,23.2,87.3%,21.8,799,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Endeavor College Preparatory Charter,"126 Bloom Street
Los Angeles 90012
(34.06446084500004, -118.23006364899999)",n/a, 04-07,261,29.2,89.7%,16.3,877,The Music Center,Dance,,,,,
Los Angeles Unified,Leo Politi Elementary,"2481 West 11th Street
Los Angeles 90006
(34.05082758100008, -118.28665653399997)",n/a, K-05,700,21.9,97%,19.4,753,The Music Center,Dance,,,,,
Los Angeles Unified,Pacoima Middle,"9919 Laurel Canyon Boulevard
Pacoima 91331
(34.250629256000025, -118.42354904999996)",n/a, 06-08,1640,24.1,84.8%,19.8,726,Skirball Cultural Center; UCLA's Visual and Performing Arts Education Program; Will Geer Theatricum Botanicum,Dance,,,,Theatre,Visual Art
Los Angeles Unified,Queen Anne Place Elementary,"1212 Queen Anne Place
Los Angeles 90019
(34.05134903000004, -118.33144946899995)",n/a, K-05,357,22.4,89.4%,21,835,Autry Museum,,,,,,Visual Art
Eastside Union Elementary,Eastside Elementary,"6742 East Avenue H
Lancaster 93535
(34.71925207800007, -118.00999380099995)",n/a, K-06,865,23.2,84.6%,22.2,752,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Harvard Elementary,"330 North Harvard Boulevard
Los Angeles 90004
(34.077250020000065, -118.30444574499995)",n/a, K-05,502,21,87.3%,19.3,846,Autry Museum; Screen Actors Guild Foundation,,,,,Theatre,Visual Art
Saugus Union,Emblem Elementary,"22635 Espuella Drive
Saugus 91350
(34.42913673000004, -118.53184973299994)",2007, K-06,177,25.3,36.7%,25.3,871,Santa Clarita Shakespeare Festival,,,,,Theatre,
Los Angeles Unified,Pio Pico Middle,"1512 South Arlington Avenue
Los Angeles 90019
(34.04454019700006, -118.31769583399995)",n/a, 06-08,670,29.8,84.9%,22.7,756,Museum of Contemporary Art; The Music Center,,,,Music/Opera,,Visual Art
Los Angeles Unified,Atwater Avenue Elementary,"3271 Silver Lake Boulevard
Los Angeles 90039
(34.114643870000066, -118.25371884299994)",n/a, K-06,363,21.3,77.7%,20.2,808,Autry Museum; Independent Shakespeare Co.,,,,,Theatre,Visual Art
William S. Hart Union High,Arroyo Seco Junior High,"27171 North Vista Delgado Drive
Valencia 91354
(34.44187948600006, -118.53639728099995)",n/a, 07-08,1251,30.8,11.2%,26.1,863,CalArts Community Arts Partnership (CAP),,Literature,,,Theatre,
Los Angeles Unified,Arroyo Seco Museum Science,"4805 Sycamore Terrace
Los Angeles 90042
(34.10216120100006, -118.20362223899997)",n/a, K-08,557,28.9,80.6%,22.3,873,Autry Museum,,,,,,Visual Art
Glendora Unified,Sandburg Middle,"819 West Bennett Avenue
Glendora 91741
(34.13967678400007, -117.87932444999996)",n/a, 06-08,853,31.9,30.6%,26.8,876,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Robert A. Millikan Middle ,"5041 Sunnyslope Avenue
Sherman Oaks 91423
(34.16231146400003, -118.42692293199997)",n/a, 06-08,2246,32.2,43.6%,29.4,892,Jagan Ramamoorthy,,Literature,Media Arts,Music/Opera,,
Los Angeles Unified,Phonenix Continuation,"12971 Zanja Street
Los Angeles 90066
(33.996904347000054, -118.44057602699996)",n/a, 09-12,79,16.5,30.4%,19.8,694,CalArts Community Arts Partnership (CAP),,,Media Arts,,Theatre,
Alhambra Unified,Ramona Elementary,"509 West Norwood Place
Alhambra 91803
(34.07598572400008, -118.12824367699994)",2005, K-08,901,30.4,72.8%,22.6,864,Autry Museum; The Music Center,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Los Feliz Elementary,"1740 North New Hampshire Avenue
Los Angeles 90027
(34.10228103800006, -118.29329626599997)",n/a, K-06,374,24.9,90.6%,22,813,Hollywood Arts Council; Inner-City Arts; Los Angeles Choreographers & Dancers,Dance,,Media Arts,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Dominguez Elementary,"21250 Santa Fe Avenue
Carson 90810
(33.83590920300003, -118.21540892899998)",n/a, K-05,620,23.8,77.9%,22.1,789,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,Figueroa Street Elementary,"510 West 111th Street
Los Angeles 90044
(33.934712760000025, -118.28372886999995)",n/a, 01-05,443,24.6,83.7%,21.1,755,LA County Museum of Art,,,,,,Visual Art
Pomona Unified,Fremont Academy of Engineering and Design,"725 West Franklin Avenue
Pomona 91766
(34.04048073300004, -117.75686670299996)",2007, 07-10,632,28.8,94.9%,16,645,American Museum of Ceramic Art,,,,,,Visual Art
Los Angeles Unified,Forty-Ninth Street Elementary,"750 East 49th Street
Los Angeles 90011
(33.998622918000024, -118.26334961399999)",n/a, K-05,1016,25,88%,24.2,709,Autry Museum,,,,,,Visual Art
Norwalk-La Mirada Unified,John H. Glenn High,"13520 Shoemaker Avenue
Norwalk 90650
(33.90821314600004, -118.05531669399994)",2003, 09-12,1880,25.7,81%,23.7,686,Museum of Latin American Art,,,,,,Visual Art
Los Angeles County Office of Education,Fair Valley PAU ,"1400 Ranger Drive
Covina 91723
(34.08496241300003, -117.88642668499995)",2003,no data,,,,,,The Music Center,Dance,,,Music/Opera,,
Compton Unified,Ronald E. McNair Elementary,"1450 West El Segundo Avenue
Compton 90222
(33.91620212000004, -118.24686418899995)",2004, K-05,533,29.6,83.7%,29.6,821,The Music Center,Dance,,,,,
Los Angeles Unified,Panorama City Elementary,"8600 Kester Avenue
Panorama City 91402
(34.22646129700007, -118.45745609499994)",n/a, K-05,721,23.5,92.5%,21.5,688,Enrichment Works,,,,,Theatre,
Lawndale Elementary,Lucille J. Smith Elementary,"4521 West 147th Street
Lawndale 90260
(33.89828797900003, -118.35567965199999)",2008, K-05,490,24.7,81.2%,22.3,848,Broad Stage; P.S. ARTS; Skirball Cultural Center,,,,Music/Opera,Theatre,Visual Art
South Pasadena Unified,South Pasadena Middle,"1500 Fair Oaks
South Pasadena 91030
(34.108790777000024, -118.15028445799999)",2007, 06-08,1098,31.1,16.6%,25.8,922,Pasadena Symphony Association,,,,Music/Opera,,
Hughes-Elizabeth Lakes Union Elementary,Hughes-Elizabeth Lakes,"16633 Elizabeth Lake Road PO Box 530
Lake Hughes 93532
(34.67106271600005, -118.42515622299999)",2012, K-08,337,25.8,31.5%,22.5,868,Santa Clarita PAC,Dance,,,,,
Duarte Unified,Andres Duarte Elementary,"1433 Crestfield Drive
Duarte 91010
(34.137566237000044, -117.95169458799995)",2012, K-06,346,23.1,81.2%,21.6,819,Southland Opera,,Literature,,Music/Opera,,
Alhambra Unified,Mark Keppel High,"501 East Hellman Avenue
Alhambra 91801
(34.06980944400004, -118.11671970799995)",2005, 09-12,2508,33.6,62.2%,28.9,864,Autry Museum; Los Angeles Master Chorale; Southwest Chamber Music,,,Media Arts,Music/Opera,,Visual Art
Palos Verdes Peninsula Unified,Soleado Elementary,"27800 Longhill Drive
Rancho Palos Verdes 90275
(33.77330676400004, -118.36687436299997)",2005, K-05,419,24.7,2.9%,22.6,948,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,Walter Reed Middle,"4525 Irvine Avenue
North Hollywood 91602
(34.15388021800004, -118.38556292799996)",n/a, 06-08,1662,29.9,59.8%,25.3,844,"INCA, the Peruvian Music & Dance Ensemble; Independent Shakespeare Co.; LA County Museum of Art; Skirball Cultural Center; The Music Center; Will Geer Theatricum Botanicum",Dance,,,Music/Opera,Theatre,Visual Art
Arcadia Unified,Baldwin Stocker Elementary,"422 West Lemon Avenue
Arcadia 91007
(34.11823194300007, -118.04695306599996)",2011, K-05,623,27.1,11.7%,23.6,977,Diavolo Dance Theater; Inland Pacific Ballet,Dance,,,,,
Los Angeles Unified,Gulf Avenue Elementary,"828 West L Street
Wilmington 90744
(33.78653277500007, -118.27230745299994)",n/a, K-05,946,20.5,86.5%,17.7,828,Grand Vision Foundation; International City Theatre; LA Opera; Los Angeles Chamber Orchestra,,,,Music/Opera,Theatre,
Los Angeles Unified,Emerson Community Charter School,"1650 Selby Avenue
Los Angeles 90024
(34.05274098600006, -118.43553623799994)",n/a, 06-08,816,30.6,59.9%,23.3,765,Will Geer Theatricum Botanicum,,,,,Theatre,
Los Angeles Unified,Lankershim Elementary,"5250 Bakman Avenue
North Hollywood 91601
(34.165980329000035, -118.37736674799999)",n/a, K-05,473,22.6,83.1%,19.7,822,Los Angeles Choreographers & Dancers; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Aspire Gateway Academy,"8929 Kauffman Avenue
South Gate 90280
(33.95150611500003, -118.18916225399994)",n/a, K-05,367,24.5,96.2%,21.6,838,Autry Museum,,,,,,Visual Art
Long Beach Unified,Muir K-8,"3038 Delta Avenue
Long Beach 90810
(33.81258122500003, -118.21109454399999)",n/a, K-08,1019,30.3,82%,28.1,822,Arts Council for Long Beach; International City Theatre,,Literature,,,Theatre,Visual Art
El Rancho Unified,El Rancho High,"6501 South Passons Boulevard
Pico Rivera 90660
(33.98408186800003, -118.08699647399999)",n/a, 08-12,3039,28.6,48.7%,25,751,Ryman Arts,,,,,Theatre,Visual Art
Arcadia Unified,Camino Grove Elementary,"700 Camino Grove Avenue
Arcadia 91007
(34.125488363000045, -118.01703993199999)",2011, K-05,675,25.9,17.3%,23.3,947,Pasadena Conservatory of Music,,,Media Arts,,,
Los Angeles Unified,Alliance College-Ready Middle Academy No.5,"211 Avenue 20
Los Angeles 90031
(34.07220117000003, -118.21990491199995)",n/a, 09-12,624,24.6,83.7%,20,765,Will Geer Theatricum Botanicum,,,,,Theatre,
Los Angeles Unified,Valley Charter Elementary,"6701 Balboa Boulevard
Van Nuys 91406
(34.19230892000007, -118.50115018199995)",n/a, K-03,175,21.6,18.3%,20.8,872,Autry Museum,,,,,,Visual Art
Palos Verdes Peninsula Unified,Lunada Bay Elementary,"520 Paseo Lunado
Palos Verdes Estates 90274
(33.76872298700005, -118.41825741399998)",2005, K-05,375,25,1.6%,25,942,AMAN Dance Educators; Diavolo Dance Theater; Francisco Martinez; Palos Verdes Art Center; The Music Center,Dance,,,Music/Opera,,Visual Art
Los Angeles Unified,Cheremoya Avenue Elementary,"6017 Franklin Avenue
Los Angeles 90028
(34.10526775300008, -118.32097983699998)",n/a, K-06,285,26.1,61.8%,22.8,844,Autry Museum; Hollywood Arts Council; Young Storytellers Foundation,,Literature,,,Theatre,Visual Art
Los Angeles Unified,Commonwealth Avenue Elementary,"215 South Commonwealth Avenue
Los Angeles 90004
(34.07021303500005, -118.28571194699998)",n/a, K-05,874,24.3,88.1%,21.9,848,Inner-City Arts; Los Angeles Choreographers & Dancers,Dance,,Media Arts,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Malabar Street Elementary,"3200 East Malabar Street
Los Angeles 90063
(34.04449525800004, -118.193561666)",n/a, K-06,780,20,87.9%,17.9,763,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Las Virgenes Unified,Sumac Elementary,"6050 North Calmfield Avenue
Agoura 91301
(34.16090283300008, -118.75622783299997)",2009, K-05,394,23.9,23.1%,19.8,885,Story Pirates,,Literature,,,Theatre,
Los Angeles Unified,West Hollywood Opportunity,"1049 Fairfax Avenue
West Hollywood 90046
(34.08979754000006, -118.36158853799998)",n/a, 09-12,97,14.3,60.8%,19.4,629,Saturday Night Bath Concert Fund,,,,Music/Opera,,
Las Virgenes Unified,Round Meadow Elementary,"5151 Round Meadow Road
Calabasas 91302
(34.15351510600004, -118.66590724199995)",2009, K-05,559,22.6,4.3%,23.1,908,Diavolo Dance Theater; The Music Center,Dance,,,,Theatre,
Los Angeles Unified,Ramon C. Cortines School of Visual and Peforming Arts,"450 North Grand Avenue
Los Angeles 90012
(34.05947837800005, -118.24506981599995)",n/a, 08-12,1522,31.1,73.1%,25.6,733,826LA; CalArts Community Arts Partnership (CAP); Elisha Wilson-Beach; Gay Men's Chorus of Los Angeles; Los Angeles Master Chorale; Ryman Arts; Festival of New American Musicals; LA Opera; The Music Center,Dance,Literature,Media Arts,Music/Opera,Theatre,Visual Art
Pasadena Unified,Franklin Elementary,"527 West Ventura Street
Altadena 91001
(34.191655765000064, -118.16050277499994)",2003, K-05,364,26.7,84.3%,26,777,Side Street Projects,,,,,,Visual Art
Los Angeles Unified,Stonehurst Avenue Elementary,"9851 Stonehurst Avenue
Sun Valley 91352
(34.24938594400004, -118.36951164199996)",n/a, K-05,334,22.3,72.5%,17.6,828,The Music Center,Dance,,,,,
Los Angeles Unified,Belvedere Elementary,"3724 East First Street
Los Angeles 90063
(34.035992570000076, -118.18603956999999)",n/a, K-05,918,22.4,93.8%,20.9,732,The Music Center,Dance,,,Music/Opera,,
Bonita Unified,J. Marion Roynon Elementary,"2715 E Street
La Verne 91750
(34.11586409200004, -117.77047586899994)",n/a, K-05,761,28.3,54.9%,25.2,871,Inland Pacific Ballet,Dance,,,,,
Las Virgenes Unified,Chaparral Elementary,"22601 Liberty Bell Road
Woodland Hills 91302
(34.14123181900004, -118.61896125599998)",2009, K-05,584,22.5,3.9%,23.3,912,Autry Museum,,,,,,Visual Art
San Marino Unified,San Marino High,"2701 Huntington Drive
San Marino 91108
(34.12524548500005, -118.09753599199996)",2003, 09-12,1103,24.3,3.5%,21.2,940,Pasadena Symphony Association,,,,Music/Opera,,
Los Angeles Unified,El Camino Real Charter High,"5440 Valley Circle Boulevard
Woodland Hills 91367
(34.171420252000075, -118.64526535599998)",n/a, 09-12,3411,28.5,19%,27.2,838,Antaeus Company ; Saturday Night Bath Concert Fund; Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,
East Whittier City Elementary,East Whittier Middle,"14421 East Whittier Boulevard
Whittier 90605
(33.954451308000046, -118.01716869599994)",2007, 06-08,1162,28.9,56.2%,23.4,847,Will Geer Theatricum Botanicum,,,,Music/Opera,,
Los Angeles Unified,John Marshall Senior High,"3939 Tracy Street
Los Angeles 90027
(34.10730268200007, -118.27709057499999)",n/a, 09-12,2899,31.5,68.5%,27.3,738,Barnsdall Arts/Friends of the Junior Arts Center; Ryman Arts,,,,,,Visual Art
Los Angeles Unified,Shenandoah Street Elementary,"2450 Shenandoah Street
Los Angeles 90034
(34.03881796500008, -118.38525065999994)",n/a, K-05,563,22.4,84.2%,19.4,755,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Charles H. Kim Elementary,"225 South Oxford Avenue
Los Angeles 90004
(34.070550654000044, -118.30792217899995)",n/a, K-05,631,24.3,74.3%,23.4,874,Inner-City Arts; Los Angeles Choreographers & Dancers; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Horace Mann Junior High,"7001 South Saint Andrews Place
Los Angeles 90047
(33.975490861000026, -118.31121309599996)",n/a, 06-08,578,17.9,86.3%,14.5,597,Saturday Night Bath Concert Fund,,,,Music/Opera,,
Los Angeles Unified,Vista Charter Middle ,"2900 West Temple Street
Los Angeles 90026
(34.074074332000066, -118.27851133799999)",n/a, K-08,1550,23.2,91.2%,16.7,699,LA County Museum of Art; Stella Adler Academy & Theatre Los Angeles,,,,,Theatre,Visual Art
Montebello Unified,Bella Vista Elementary,"2410 Findlay Avenue
Monterey Park 91754
(34.03456181300004, -118.13794831799999)",2007, K-05,707,27.2,73.1%,24.8,731,The Music Center,Dance,,,Music/Opera,Theatre,
Arcadia Unified,Arcadia High,"180 Campus Drive
Arcadia 91007
(34.130763140000056, -118.03386923399995)",2011, 08-12,3665,30.8,15.4%,24.5,897,Pasadena Symphony Association,,,Media Arts,,,
Los Angeles Unified,Esperanza Elementary ,"680 Little Street
Los Angeles 90017
(34.05549098100005, -118.27232291799999)",n/a, K-05,874,25,84.3%,23.6,699,Los Angeles Chamber Orchestra,,,,Music/Opera,,
Los Angeles Unified,Arleta High,"14200 Van Nuys Boulevard
Arleta 91331
(34.25099079700004, -118.44276488599996)",n/a, 09-12,1656,29.6,86.4%,25.1,689,artworxLA (formerly The Heart Project),Dance,Literature,,,Theatre,Visual Art
William S. Hart Union High,Canyon High,"19300 West Nadal Street
Canyon Country 91351
(34.42970124200008, -118.47239857899996)",n/a, 09-12,2450,30,17%,26.7,803,"Santa Clarita Artists' Association, Inc",,,,,,Visual Art
Long Beach Unified,Hughes Middle,"3846 California Avenue
Long Beach 90807
(33.82804942200005, -118.18065359099995)",n/a, 06-08,1594,33.8,55.4%,29.5,846,Long Beach Opera,,,,Music/Opera,,
Los Angeles Unified,Langdon Avenue Elementary,"8817 Langdon Avenue
North Hills 91343
(34.23027074100003, -118.46985234299996)",n/a, K-05,572,20.2,91.6%,16.3,757,Enrichment Works; The Music Center,Dance,,,,Theatre,
El Segundo Unified,Richmond Street Elementary,"615 Richmond Street
El Segundo 90245
(33.92383664100004, -118.41725526999994)",n/a, K-05,589,26.8,8.1%,24.4,908,"El Segundo Concert Band; INCA, the Peruvian Music & Dance Ensemble; Skirball Cultural Center; The Music Center",Dance,,Media Arts,,,Visual Art
Burbank Unified,Joaquin Miller Elementary,"720 East Providencia Avenue
Burbank 91501
(34.18335169100004, -118.29736068099999)",2004, K-05,714,29.7,46.5%,27.5,872,24th Street Theatre Company; Shakespeare At Play; Skirball Cultural Center; The Music Center,,,,,Theatre,Visual Art
Compton Unified,Compton High,"601 South Acacia Street
Compton 90220
(33.891048598000054, -118.22625345499995)",2004, 09-12,2310,25.7,81.3%,24.1,595,Museum of Latin American Art,,,,,,Visual Art
Long Beach Unified,Burcham K-8,"5610 East Monlaco Road
Long Beach 90808
(33.822114052000074, -118.12235587499998)",n/a, K-08,589,29.9,52.3%,24.1,784,Long Beach Symphony Orchestra,,,,Music/Opera,,
Los Angeles Unified,Richland Avenue Elementary,"11562 Richland Avenue
Los Angeles 90064
(34.02869516900006, -118.44014651799995)",n/a, K-06,259,21.5,65.6%,17.9,785,Leonardo Ibanez Valenzuela; Los Angeles Chamber Orchestra; Young Storytellers Foundation,,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Frederick Douglass Academy Elementary,"2400 South Western Avenue
Los Angeles 90018
(34.03450036500004, -118.30894655799995)",n/a, K-05,389,28.1,51.2%,35.4,730,The Music Center,Dance,,,,,
William S. Hart Union High,Santa Clarita Valley International,"28060 Hasley Canyon Road, Suite 200
Castaic 91384
(34.45182469900004, -118.62486775199994)",n/a, K-10,719,24.1,12.5%,25.7,769,Santa Clarita PAC,,,,Music/Opera,Theatre,
Los Angeles Unified,Sophia T. Salvin Special Education Center,"1925 Budlong Avenue
Los Angeles 90007
(34.03905072600003, -118.29626223999998)",n/a, K-07,239,8.2,59.4%,8,803,The Music Center,,,,Music/Opera,,
