#,Applicant Name,Discipline ,Allocation,Mailing Address,MA Part 2,Mail City,Mail State,Mail Zip,Fiscal Year
801,Harmony Project,Music,"15,200 ",817 N. Vine Street,#204,Los Angeles,CA,90038,2013-14
802,Hatchery Arts,Multi-disciplinary,"7,130 ",P.O. Box 93325,,Hollywood,CA,90093,2013-14
803,Heroes of Life,Festivals/Parades,"2,850 ",11243 Glenoaks Boulevard,Suite 7,Pacoima,CA,91331,2013-14
804,Hollywood Arts Council,Multi-disciplinary,"6,650 ",6671 Sunset Boulevard,Suite 1502,Hollywood,CA,90028,2013-14
805,Hollywood Arts Council,Multi-disciplinary,"4,750 ",6671 Sunset Boulevard,Suite 1502,Hollywood,CA,90028,2013-14
806,"Imagination Workshop Inc, The",Theatre,"6,180 ","c/o UCLA Semel Institute, 760 Westwood Plaza",Suite C8-151,Los Angeles,CA,90024,2013-14
807,INCA the Peruvian Music & Dance Ensemble,Music,"6,180 ",POB 39813,,Los Angeles,CA,90039,2013-14
808,"Independent Shakespeare Co Inc, The",Theatre,"5,700 ",9800 D - Topanga Canyon Blvd.,Suite 168,Topanga Canyon,CA,91311,2013-14
809,Indian Film Festival of Los Angeles,Media,"5,040 ",5225 Wilshire Boulevard,Suite 417,Los Angeles,CA,90036,2013-14
810,Inner-City Arts,Multi-disciplinary,"6,500 ",720 Kohler Street,,Los Angeles,CA,90021,2013-14
811,Inner-City Arts,Multi-disciplinary,"17,100 ",720 Kohler Street,,Los Angeles,CA,90021,2013-14
812,Inside Out Community Arts Inc.,Theatre,"9,030 ",608 Venice Blvd,,Venice,CA,90291,2013-14
813,Interact Theatre Company,Theatre,"6,180 ",P.O. Box 349,,North Hollywood,CA,91603-0349,2013-14
814,International Documentary,Media,"5,000 ",1201 W. 5th Street,Suite M320,Los Angeles,CA,90017,2013-14
815,International Documentary,Media,"8,100 ",1201 W. 5th Street,Suite M320,Los Angeles,CA,90017,2013-14
816,International Eye Los Angeles,Multi-disciplinary,"6,840 ",7381 La Tijera Boulevard,# 1034,Los Angeles,CA,90045,2013-14
